owner|owneruid|group|groupuid|filename
root|0|bin|1|/NAS/scholars/.etc/rpt_file.InProgress
root|0|bin|1|/NAS/scholars/.etc/config_file.InProgress
root|0|bin|1|/NAS/scholars/.etc/config_file.sids
root|0|bin|1|/NAS/scholars/.etc/rpt_file.sids
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/kitty.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/reduced sign on requirements document.doc
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/Score example.xlsx
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/Bunny_Rabbit.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/aries puppy bowl.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/07WashingtonDC.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/jims boat.bmp
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/koala at sc zoo.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/blt-popovers.pdf
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/skunkcabbage_0142.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/woodchuck.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/Tai Shan's plane.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018265/New Images.JPG
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018503/Bunny_Rabbit.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018503/open doc message.doc
UNKNOWN|3502|atd|102|/NAS/scholars/scholar/2011/A00018503/devNasdelete.pdf
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018807/test plan - final with test case.doc
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018807/Log in forpages.docx
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018289/Alta_Consulting_Services_interview_handbook.rtf.pdf
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018289/process flow sharepoint.vsd
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018346/boat.bmp
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00019007/Implementing an Anti.docx
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00019007/Score example.xlsx
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00019007/Overview.vsd
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018348/Bunny_Rabbit.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018348/aries puppy bowl.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018348/hounds.jpg
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018348/lily and friend.JPG
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018348/URLs.doc
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00018348/package-use.html
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00019170/login_activity.vsd
UNKNOWN|101|weblogic|101|/NAS/scholars/scholar/2011/A00019428/Bunny_Rabbit.jpg
